episode_id,run_id,run_pid,timesteps,policy_update,rollout_step,latent_z,curriculum_phase,mode,map_set,map_layout,map_id,map_vertical_mirror,opponent,opponent_id,success,blue_score,red_score,win_margin,decision_steps,zone_coverage,collision_free_episode,collision_events_per_episode,obstacle_collision_events_per_episode,near_misses_per_episode,blue_route_upper_crossings,blue_route_lower_crossings,red_route_upper_crossings,red_route_lower_crossings,blue_attack_upper_crossings,blue_attack_lower_crossings,blue_return_upper_crossings,blue_return_lower_crossings,blue_intercept_upper_crossings,blue_intercept_lower_crossings,red_attack_upper_crossings,red_attack_lower_crossings,red_return_upper_crossings,red_return_lower_crossings,red_intercept_upper_crossings,red_intercept_lower_crossings,time_to_first_score,mean_inter_robot_dist,reward_terminal,reward_offense,reward_pbrs,reward_team,reward_sparse,reward_sparse_points,reward_failure,reward_total
1,17432-1784952723270660900,17432,10724,10,121,0,OP3,OPPONENT_POOL,train,map_b_split_lane_v2,1,1,SCRIPTED:OP11_ADAPTIVE_EXPLOITER,,1,3,1,2,121,0.7199999690055847,1,0,7,38,9,4,11,3,3,2,2,1,3,0,2,0,1,0,7,1,32.0,5.582424699767562,1.2999999523162842,0.7250000238418579,0.007388591766357422,0.0,1.0,100.0,0.0,0.6391360759735107
2,17432-1784952723270660900,17432,10756,10,129,0,OP3,OPPONENT_POOL,train,map_b_split_lane,0,1,SCRIPTED:OP11_ADAPTIVE_EXPLOITER,,0,2,3,-1,129,0.7999999523162842,1,0,3,19,3,6,9,2,1,3,1,1,1,0,2,0,2,1,4,1,39.0,6.654917635658915,-1.149999976158142,-0.38303861021995544,-0.005869820713996887,0.0,-1.0,-100.0,0.0,-0.5605443120002747
3,17432-1784952723270660900,17432,10764,10,131,0,OP3,OPPONENT_POOL,train,map_b_split_lane_v2,1,1,SCRIPTED:OP11_ADAPTIVE_EXPLOITER,,1,3,2,1,131,0.47999998927116394,1,0,1,54,14,0,16,0,4,0,3,0,4,0,4,0,2,0,8,0,62.0,5.251747189587309,1.149999976158142,0.7062499523162842,-0.008644238114356995,0.0,1.0,100.0,0.0,0.6128807067871094
4,17432-1784952723270660900,17432,10868,10,157,0,OP3,OPPONENT_POOL,train,map_b_split_lane_v2,1,0,SCRIPTED:OP11_ADAPTIVE_EXPLOITER,,0,1,3,-2,157,0.7599999904632568,1,0,2,33,6,10,3,5,3,4,0,1,3,2,3,0,0,3,0,1,33.0,6.927317625398089,-1.2999999523162842,-0.5,-0.006277590990066528,0.0,-1.0,-100.0,0.0,-0.6046167612075806
5,17432-1784952723270660900,17432,11164,10,231,0,OP3,OPPONENT_POOL,train,map_b_split_lane_v2,1,0,SCRIPTED:OP11_ADAPTIVE_EXPLOITER,,0,2,3,-1,102,0.5199999809265137,1,0,0,10,0,10,6,7,0,2,0,2,0,5,3,2,2,1,1,2,33.0,6.76039093615962,-1.149999976158142,-0.5,0.006515383720397949,0.0,-1.0,-100.0,-0.20000000298023224,-0.6119874715805054
6,17432-1784952723270660900,17432,11236,10,249,0,OP3,OPPONENT_POOL,train,map_b_split_lane,0,0,SCRIPTED:OP9_SPLIT_LANE_FEINT,,1,3,1,2,128,0.7599999904632568,1,0,14,21,1,8,4,10,0,3,0,3,1,1,2,3,0,1,2,4,40.0,7.345379829406738,1.2999999523162842,0.7118749618530273,-0.010147929191589355,0.0,1.0,100.0,0.0,0.6365395784378052
7,17432-1784952723270660900,17432,11240,10,250,0,OP3,OPPONENT_POOL,train,map_b_split_lane_v2,1,1,SCRIPTED:OP7_DEEP_FORTRESS,,1,3,1,2,119,0.6800000071525574,1,0,7,17,6,7,1,9,4,2,0,3,1,0,0,1,0,1,0,6,34.0,6.328874860491071,1.2999999523162842,0.7287499904632568,-0.008676081895828247,0.0,1.0,100.0,-0.20000000298023224,0.6085687875747681
8,17432-1784952723270660900,17432,11432,11,42,0,OP3,OPPONENT_POOL,train,map_b_split_lane,0,1,SCRIPTED:OP11_ADAPTIVE_EXPLOITER,,1,3,1,2,141,0.7999999523162842,1,0,0,54,2,12,4,9,2,3,0,3,0,3,2,1,0,1,2,3,34.0,5.590468819259752,1.2999999523162842,0.6875,-0.007634788751602173,0.0,1.0,100.0,-0.20000000298023224,0.6020763516426086
9,17432-1784952723270660900,17432,11644,11,95,0,OP3,OPPONENT_POOL,train,map_b_split_lane,0,0,SCRIPTED:OP11_ADAPTIVE_EXPLOITER,,1,3,1,2,102,0.7199999690055847,1,0,4,15,6,5,1,12,3,1,0,3,3,1,0,4,1,1,0,5,32.0,7.4625812605315565,1.2999999523162842,0.7278473377227783,-0.03204345703125,0.02499999850988388,1.0,100.0,0.0,0.6390235424041748
10,17432-1784952723270660900,17432,11652,11,97,0,OP3,OPPONENT_POOL,train,map_b_split_lane,0,1,SCRIPTED:OP9_SPLIT_LANE_FEINT,,0,2,3,-1,122,0.7199999690055847,1,0,4,32,7,7,6,6,4,3,0,2,1,1,3,1,2,1,0,2,41.0,7.300679691502305,-1.149999976158142,-0.48070526123046875,0.010780170559883118,0.0,-1.0,-100.0,-0.20000000298023224,-0.6087937355041504
